File Name,VADER Positive,VADER Negative,VADER Neutral
fomcminutes20140129.txt,0.089,0.029,0.882
fomcminutes20140319.txt,0.082,0.056,0.862
fomcminutes20140430.txt,0.095,0.042,0.862
fomcminutes20140618.txt,0.083,0.051,0.866
fomcminutes20140730.txt,0.099,0.039,0.862
fomcminutes20140917.txt,0.075,0.048,0.877
fomcminutes20141029.txt,0.108,0.039,0.854
fomcminutes20141217.txt,0.079,0.046,0.874
fomcminutes20150128.txt,0.085,0.028,0.887
fomcminutes20150318.txt,0.079,0.047,0.873
fomcminutes20150429.txt,0.104,0.05,0.846
fomcminutes20150617.txt,0.083,0.047,0.87
fomcminutes20150729.txt,0.103,0.039,0.857
fomcminutes20150917.txt,0.083,0.052,0.865
fomcminutes20151028.txt,0.103,0.047,0.849
fomcminutes20151216.txt,0.079,0.057,0.864
fomcminutes20160127.txt,0.089,0.035,0.876
fomcminutes20160316.txt,0.084,0.06,0.857
fomcminutes20160427.txt,0.105,0.048,0.847
fomcminutes20160615.txt,0.08,0.056,0.864
fomcminutes20160727.txt,0.113,0.05,0.838
fomcminutes20160921.txt,0.078,0.05,0.871
fomcminutes20161102.txt,0.102,0.043,0.856
fomcminutes20161214.txt,0.085,0.054,0.861
fomcminutes20170201.txt,0.087,0.035,0.878
fomcminutes20170315.txt,0.086,0.057,0.857
fomcminutes20170503.txt,0.097,0.047,0.856
fomcminutes20170614.txt,0.076,0.058,0.866
fomcminutes20170726.txt,0.087,0.054,0.858
fomcminutes20170920.txt,0.072,0.059,0.868
fomcminutes20171101.txt,0.088,0.044,0.868
fomcminutes20171213.txt,0.081,0.059,0.859
fomcminutes20180131.txt,0.1,0.034,0.866
fomcminutes20180321.txt,0.084,0.06,0.856
fomcminutes20180502.txt,0.095,0.038,0.867
fomcminutes20180613.txt,0.081,0.058,0.86
fomcminutes20180801.txt,0.102,0.053,0.845
fomcminutes20180926.txt,0.086,0.06,0.854
fomcminutes20181108.txt,0.105,0.051,0.843
fomcminutes20181219.txt,0.079,0.064,0.857
fomcminutes20190130.txt,0.088,0.034,0.878
fomcminutes20190320.txt,0.079,0.066,0.855
fomcminutes20190501.txt,0.095,0.043,0.862
fomcminutes20190619.txt,0.076,0.072,0.852
fomcminutes20190731.txt,0.096,0.057,0.848
fomcminutes20190918.txt,0.075,0.07,0.855
fomcminutes20191030.txt,0.093,0.054,0.853
fomcminutes20191211.txt,0.078,0.066,0.856
fomcminutes20200129.txt,0.086,0.036,0.878
fomcminutes20200315.txt,0.102,0.065,0.833
fomcminutes20200429.txt,0.104,0.069,0.827
fomcminutes20200610.txt,0.087,0.066,0.847
fomcminutes20200729.txt,0.099,0.051,0.85
fomcminutes20200916.txt,0.102,0.047,0.851
fomcminutes20201105.txt,0.103,0.049,0.848
fomcminutes20201216.txt,0.112,0.049,0.839
fomcminutes20210127.txt,0.095,0.041,0.864
fomcminutes20210317.txt,0.107,0.043,0.85
fomcminutes20210428.txt,0.11,0.048,0.842
fomcminutes20210616.txt,0.11,0.045,0.845
fomcminutes20210728.txt,0.116,0.043,0.841
fomcminutes20210922.txt,0.109,0.043,0.848
fomcminutes20211103.txt,0.122,0.047,0.831
fomcminutes20211215.txt,0.11,0.036,0.854
fomcminutes20220126.txt,0.098,0.034,0.869
fomcminutes20220316.txt,0.106,0.049,0.844
fomcminutes20220504.txt,0.103,0.051,0.846
fomcminutes20220615.txt,0.092,0.046,0.862
fomcminutes20220727.txt,0.104,0.058,0.838
fomcminutes20220921.txt,0.099,0.06,0.841
fomcminutes20221102.txt,0.103,0.053,0.845
fomcminutes20221214.txt,0.098,0.051,0.85
fomcminutes20230201.txt,0.105,0.052,0.843
fomcminutes20230322.txt,0.091,0.048,0.86
fomcminutes20230503.txt,0.096,0.059,0.845
fomcminutes20230614.txt,0.095,0.045,0.859
fomcminutes20230726.txt,0.102,0.054,0.845
fomcminutes20230920.txt,0.1,0.051,0.85
fomcminutes20231101.txt,0.107,0.05,0.843
fomcminutes20231213.txt,0.107,0.04,0.852
fomcminutes20240131.txt,0.109,0.046,0.845
fomcminutes20240320.txt,0.104,0.042,0.854
fomcminutes20240501.txt,0.124,0.049,0.827
